source	reference	translation
چنوݩ چوگ بؽ که زم رۊݩس چؽت ٱوؽ بؽ.	so bent was he by the wound in his hip.	that resembled a half plucked turkey.
مو کسؽ هدوم که وه رۊوَت وحشتناکؽ‌ بؽ تاشا بؽم.	I'm the one who was horribly careless.	I induced him to take a horrible turn away.
ٱمای هو پوی وؽرس ره بؽ تأثیرؽ که مؽ گوڌشده ڤور هو ناڌه بؽ.	but he had completely forgotten the impression it had made on him in old days.	then, quite overpowered by the necessities of nature, fell asleep.
ٱمای وه زؽ وه هو دهس کشؽ ۉ وه تۊس ملست تا کَلوکولَل خو نه پنگ کونه.	but soon gave it up and went to her room to pack her own things.	And he drew out his black knife and opened it to his waist.
هو ورگ اؽکهڌ که وا چه سهشتؽ هؽنسته بۊ اؽسۊکه والدینت هنؽ زهنه یسن ٱمای نؽترن بشناسِنت.	he imagined how it must feel to have parents still living but unable to recognize you.	He confirmed that he had never met a man so honorably in her hands.
وا اٛلخا ۉ موهڤت تعدؽل ٱوؽ بؽ.	was tempered with respect and affection.	in spite of her very slight weight gain she began to suffer badly from too much fluid in the tissues of her body
وه هو یرنستوم که بئۊس وه‌ دهس هلک هیارؽ ٱوؽ ۉ وه کَڤوشت مؽهرس رهڌه هد.	told her that her father was assisted by the people, and gone in search of her husband.	I imagined it was some importunate person who
بگه کِرؽ رؽ هو شسته ۉ هو نه مؽ تینویؽ کِر دارؽ تکنؽده بؽ که هؽچ رهه گورۊسؽ زه هو وجۊڌ ناشت.	it was as though a fog had fallen upon him and wrapped him in a dreary solitude from which there was no escape.	to tell her that her father had neglected to testify.
اوسو که نؽیشتن چقر وه اؽده‌یل کلۊوارس پایبند هد.	when they saw how wedded he was to his crazy ideas	He had nailed him to the wall and crucified him.
جۊ کس که وه دورونگستن سۊرؽ ناره.	as one unaccustomed to speaking	nor the strict charge she gave the page to be careful of me.
بؽ روؽز اؽنؽ قلؽوه بلاجۉر اؽیوؽ.	would certainly have been a most astonishing object	without thinking beyond the immediate cause
زه رۊزؽ که هو نه سوده بؽم، دؽ وه رۊوت حضۊرؽ گورگومه نه نیڌه بؽم.	I hadn't seen my wolf in person since that day I'd touched him	I made a mistake the first day I went to my wolf's chair.
اؽنداو وا گوڌشدن زه نفر دویوم وه نفر سیوم رسؽڌک ۉ زه هو پورس کهڌ هونؽ‌ که زه دؽیَل پورس کهڌه بؽ.	then passing on to the third he asked him what he had asked the others	somehow made me feel the kiss of compassion on a bag full of rusty old face
تینا فرگ‌ کهڌوم وا بدۊنؽ وه کۊ با اؽروڤه.	I just thought you should know the direction he's headed.	I just thought he was gonna bother you.
اؽدۊنست که دانشجۊ تؽر خرڌه.	knew that the student had been shot.	seemed the black cloud from which the thunder had come.
چؽکه هونه دلچسب جوس بؽ ندورونڳست.	she let it pass because it was pleasing to her.	still it was not pleasant to him to hear anything.
اؽنداو خو نه رؽ صندلؽ جا وه جا کهڌ.	falling back in his chair	then, quite overpowered by chairs.
ٱمای اوسو که دهسس نه داو هو حلقه کهڌ سهشتؽ من هو جوهس که دؽه‌یَل ناشتنس.	yet when she put her arms around him she could sense a faint echo of some intensity quite missing in the others.	when she put her hands on her face to look at me, I blinked and then I fell asleep.
که بؽاون زنشت جؽلؽ وه پسوم خرڌ ۉ چؽکه رؽ گردوندوم.	when I felt a sudden sharp poke in my rear, and turning round	that if you should not feel ill, let me put up a bag full of rusty old face.
ٱلتو دمۊن وه‌ دوؽن ویڌن هواپیما برۊکوم کڤۊ اوؽڌه.	I must have bruised my ribs when the plane came in.	At that moment, he left the plane and went to Shame's room.
که ٱر دورونڳه نه وه همؽݩ ماوزۊ شرش بکشن.	that if he continued the conversation in the same tone in which he had begun it	to be champions always ready to expel as many of you as possible as soon as possible to save himself from going round the bend.
اوسو که مؽ دو ورۊم بؽن زه پاچه رڌ اوؽڌوم.	I crossed the field with them flanking me.	when I had left off on tiptoe.
همه‌دام گشتۊگ خو نه سؽ مارل پوی، فرَه اؽیشت.	always lent them a sympathetic ear.	I don't know, I've got all my faculties as well as ever.
یخو رهنمویؽ ناشتوم که قوه تخیولوم نه دؽندام کونه ۉ وه کار ونه.	I had not the smallest indication on which to let my imagination work.	I had no advice to how to do it and dread my dream.
کَسلؽ مختلف الجنس زه هار ناو ۉ قسم اوچۊ بونکۊ اوؽڌن.	who sympathized but little in the event	they had some other feelings towards women than towards grouse and foxes
نظرومه نه راجع وه رۊزل لؽشؽ که نؽا دورؽم.	the kind of vision I'd had of the bad time that's coming	I had a hunch about a missing person who I had gone to investigate.
وا چنۊݩ هرنڳؽ هونه هته دا که اؽنؽ نمنده بؽ بقارنوم.	with a grip that almost made me cry out	so insidious is the repetition of any scene
رؽ صندلؽ پسِ مؽز تحرؽرس شست.	sinking into his desk chair	He leaned his back against the chair.
چؽکه هو نؽاز وه لؽز گرهڌن هؽنست.	he needed to sleep, he had to	'Cause he's not going anywhere with music.
هو که نترست لاوهند مزنه.	though he couldn't suppress a thin lipped smile.	she could not bear to hear.
همۊݩ رۊ مطالبؽ نه یرنست.	told me things.	has been and will remain in the same attitude of close observation so long
جۊ یو بؽ که مولکمؽته نه داوت کونن	it was to invite death	Just like they've been telling him to his face.
همؽو وائس ٱوؽ که کار وه ئؽ دوئل بکشه.	now, my dear, we have the duel.	to whom I shall make such excuses that she will be led to approve of my delay
مو وس رسؽڌوم ۉ هرنڳه نه وس ورۊاندوم.	I reached in and stole power from him.	I approached him and asked him to sit down.
انزوا که سؽ هار دو واقعؽت اؽنل بؽ.	that loneliness which was for both of them the truth about things.	so that with all these facts,
آئورلؽانوی سیوم وا لحن معترضؽ مؽنجا دورونگستن هو پهرست	her husband countered.	I've got all my faculties as well as ever I had in my life.
چؽکه باک باوَت چماق واتاشا ٱوؽ بؽ.	for he was become wise in the way of clubs.	a half-view of what he had said.
آخر وه هۊنه اۊ شخص فقؽر رسؽڌؽم.	until we came to the poor person's house	I am in earnest at last
ٱلڤَت قلؽوه زه هو مودب بؽ که بخو فاش بگو	though he was too courteous to speak openly	he was, of course, in a state of fear to hear it.
ئؽ نویته نه هم وه هو فهمونده بؽ.	a fact which she had impressed upon him.	he had not understood so well.
سیڌن پند خۊئؽ که وس پؽشنهاڌ ٱوؽ بؽ.	acceptance of the good advice that had been offered to him	somehow made her usually soft voice heard above the tumult.
وه هیدوت فرمۊݩ دا تا هونه بتلقنه.	swerved to hit it.	He ordered a place for me to lodge in.
درگشت ۉ وه پر بارواس سئل کهڌ.	her second glance was at the dying man	He walked in and started on the farm.
مؽره‌اؽ که چورسته بؽ ئا زؽنه‌اؽ که زهنه ول ٱوؽ بؽ.	the man who had died or the woman he had left behind.	the black cloud from which the thunder had come.
اؽسا وا وه تورتۊنه ادامه بؽن.	that you were to go on.	so insidious is the repetition of the hour.
اوسو مطالب خو نه وه پایان رسونڌ.	when he had concluded.	Then he put the phone down.
ناخورای هو وه تدرؽج نیرۊن اؽبۊ.	that her captain begins to feel a little anxious.	he was unwilling to leave it untranslated
بنؽ اؽنؽ مؽ ٱندرؽنوم وه قول اؽکند.	something kind of moved inside me.	to which I shall make such excuses that she will be led to approve of my delay
تل داشت که سئل مرؽ وه تؽلس بۊفته	hoping that they would meet hers	He was waiting for a cold chicken to boil.
ٱمای دوارته بازپورسؽ وه کاترؽنا نه خۊ وؽرومه.	I only remember how they began examining the witness.	but I'll be back again, Catherine.
مودمئن بؽم که گورگوم اۊچۊ بؽڌه.	I was so sure that my wolf had been there.	I wondered whether my wolf would be crazy or stupid.
سؽ خاونؽڌن وا ارنڳؽ شرؽݩ هونده‌گرؽ کهڌ.	sang to it softly, to lull it to sleep.	The grief-stricken groaning began on the giant.
دل‌داشت مؽ ئؽ تۊ کوچؽر اوینه بنشؽنه ۉ بنهره.	had liked sitting in this room to watch the ladies who	He was thinking about looking at Mary like a goat.
تا زهشت خو نه وه تاوبه بنن	weeping and praying	to cover their heads and knees with a hanging star
یَه رۊ پسؽن داس تی هو ویڌ ۉ چؽ بلاجڤؽ اؽخاسک.	his mother came to him one afternoon with a very peculiar proposition for her.	One day your grandmother will come and discuss what he will do to you.
ٱمای تا همؽسکو هرگز هونه جۊ ٱمرۊ نیڌه بؽ.	but he had never yet seen it as it was to day.	but he's never seen anything like it before.
سرؽشت ۉ طؽنت روسؽ کورتۊݩ نه سؽس بیرنؽن.	explain your son's character.	He got up and went to Shame's room before he went down.
وه تلوم بؽ بهلوم تو زهنه بمهنؽ ۉ مکوشومت.	I've decided to let you live.	He asked me to stay with you and I didn't touch you.
بؽ هانؽ آخرؽن پلرد خو نه کهڌ ۉ گو	she said, trying once again	without any scene from which she did not return with the same unperturbed keenness of eye and the same high natural color.
وه رؽ غرؽزه تا نهنڳ هو هم ویڌوم.	I came straight to it, by instinct, I suppose.	I asked him to sit down and see what he had gone.
سؽ شرکت مؽ پؽرۊزؽس هنؽ کسلؽ بؽڌن.	there were other people on hand to share her triumph.	The management of the company was headquarters.
مندؽر بؽڌؽم که ساو‌هۊنه ناهار نه ورۊئه.	waiting for his housekeeper to serve lunch.	I asked him to come to dinner.
اۊ ٱسڤ مونه وه هۊنه درگردوند.	for he led me back into the house	He spied me back.
مو پوی چؽ نه راجع وه خوم وه هو یرنسه بؽم	I told him everything about myself.	I've got all my faculties as well as ever I had in my life.
مو وا ورگ زهشت خوم بۊم	I got to think what happens to me.	I was thinking about it myself.
اؽتاو بؽاهن اؽچو مل نفت آیوم ٱون!	to come and upset us in this manner!	It's like they're making a lot of oil!
حتی پلرد کهڌ وا ته‌منده رنؽ که نقاشل ول کهڌه بؽن انباره نه رن بوکونه.	he even tried to do up the attic with some paint which had been left behind by the painters.	He even had the incivility to encompass his patients.
حتی بؽ یوکه وه خو زحمت دهرسنسه بده.	without even taking the trouble to tear it up.	He's even had to worry about it.
بئتره نهلؽم که گرهدار ئؽ قصۊرل ٱوؽم.	let us remember this, in time.	I'm afraid I won't have to tell that story.
من مسافر‌هۊنه نرهڌ ۉ زه هو هم نویڌ سرا.	entered or left the tavern door.	I put the light near his face and sat down and then he leaned over me.
اؽخوم سؽ یه ولا هم که ٱوؽڌه وه مو بنهرؽن.	you must look once.	I'm going to have to get back to her.
اؽدۊنوم که زؽنه‌اؽ وااٛلخا جۊ تو نوا وا مو بدورونڳه	I know I shouldn't speak to you	I know a woman like you don't want to be a lady.
ٱمای کۊپر مودمئن بؽ که کار ترؽسؽ وه‌دهسؽ بؽڌه.	but he was certain it had been done deliberately.	but a reasonable suspicion that he had abandoned his fearful venture of his hand
دو تؽ دلۊ ۉ ساوزه نه نهرس که مؽ تورؽکؽ وه هو گر کهڌه بؽ.	saw something with very large, round, green eyes staring back at him in the darkness	the front two clutching him tightly in the pocket
هونه خاو قلؽوه سنگؽنؽ گرهڌ.	he fell into such a deep sleep	He got up heavily.
اوسو که هاردۊن سؽ قڌم زیڌن آماڌه ٱوؽڌن یرنس	she said when they were ready	when the young man entered, I asked him to what he had been telling me.
‌یه حادثه کوچؽر ئؽ ٱمره‌ نه ڤور هو ثاڤت کهڌ.	as was shown by a trifling incident.	a very important event which had perhaps been the occasion of much present enjoyment to both
حتمنؽ چنڌ دقه اؽنداو زه ملسن وه تۊس چورسه بؽ	must have died within minutes of retiring	He's even had to steal his head for a minute.
ٱمای تلس ناشتک که فرگسه نه وه زۊن بئاره.	but she did not dare to speak of it.	but she was not sober enough to think of it.
هرچند وه هو گوئڌن که خاوسؽڌه.	though he had been informed, to begin with, that she had already gone to bed.	Even though he had said he liked to.
لکن مفاڌ مارلوم عینا همیۊ بؽ که گوئڌوم.	but the idea was as I say.	but I'm damned if I sympathize.
فئم بو که هنؽ جۊݩ ندائه.	found he had not yet ceased to breathe.	I understood that there was no longer any such desire.
دؽ جوریت نؽکونوم وه اؽچو بڌرگردوم.	I dare not come again.	I ain't ever going to shake them any more.
شلاق شلاله نه زه رؽ مخ ورگهڌ.	took the long horsewhip from its nail.	He got up and went to Shame's room before he went down.
هو نه مؽ تۊ تهنا نها ۉ ملس.	left him there, alone	he is only alive and free.
اخِر سلا رئڌنوم دا خوم.	at length permitted me to go.	I am in earnest at last
اؽنؽ نگوڌوم ۉ پلرد کهڌوم که ورگؽ هم‌ مکونوم.	I said nothing, and tried to think nothing.	I didn't say so, and I insisted I stay out of it.
بئۊسۊݩ پلرد کهڌ تا اۊ دوتا ئؽ تصمؽم مگرن.	their father tried to dissuade them.	he was delayed an instant until the decision was made.
بؽ یوکه دۊنا بۊ وه ئؽ علاقه.	without even knowing she loved it	He was attracted to this woman.
قلؽوه تر زه همه‌دام خومؽر بؽ ۉ حتی طرب انگؽز تر.	was tenderer than usual and even more delightful.	in spite of all the bloodsuckers, even in the most interesting way.
قیز هو هؽچ کارؽ نؽترسوم بوکونوم	I couldn't do without her.	I could see clearly what he had been doing.
وا ئؽ ورگ نیرۊنؽ دوارته درگشت.	she thought and desperation came back to her.	And he didn't return with the same unperturbed keenness of eye and the same high natural color.
باور کو ٱر لازم بۊ تو نه هم اؽکوشوم.	even if I have to kill you.	I trusted you to die, if you had anything to say to him.
زه مؽن بونکۊ تورؽ سؽ خو فره کهڌ.	at that moment made his way through the crowd	The month was a perfectly good one.
ٱمای من دمۊن خاو زه مو پورس کهڌ که ئؽ کتاو نه داروم؟!	but when I was going to bed at night, asked me if I had got that book?	Then I had the chance to find a book?
اؽنؽ نگوڌشد که هاردۊن‌مۊݩ وه خاو رئڌؽم.	we both soon slumbered.	it was not difficult for me to guess that it was to see her that I had gone
چؽلسه نه فره کهڌ ٱمای سرتؽرؽ هو نه بهس.	opens her mouth, closes it again	He held his breath in his chest and listened carefully.
مو تور تحصؽل فندو نه وه کار گرئڌوم	I followed that of letters	I've been looking for a job to do.
اۊ رۊ سوهڤ تصادفا تهنا همؽݩ یه سئڌؽ رسؽڌه بؽ	that morning, as it chanced, there was only this one letter	that morning there was a sudden hesitation
ٱمای پؽرمرد وا سئلؽ تنفرآمؽز هو نه ڤورانداز کهڌ	but, the old gentleman, eyeing him with an expression of dislike	then bestowed upon it a kick which could have emanated from no leg but a beadle's.
تو آقای وااٛلخایؽ هڌؽ. ئؽ سئڌؽ نه بسۊزنؽن	as you are a gentleman, burn this letter	you were a gentleman waiter. He was interrupted in the most interesting part of my story which
من اثنای خوندنه ئؽ سئڌؽ طۊلونؽ.	while he read this long and painful letter	I can't do just as I want to here.
بنؽ پئشگۊیؽ شۊکؽ سؽ سفر هو بؽ.	as if it boded ill omen to his venture.	that resembled a half plucked turkey.
مؽ تور اؽستگاه قطار سؽ خو یه لوف کاوش کتۊنؽ سیڌ.	bought herself a pair of espadrilles on the way to the train.	He was thinking about a fox's bar full of rusty old wooden handle.
زه هو فرامۊشت ٱوؽڌه‌ؽ اؽنداو زه مولکمؽت که سؽس شنخت بؽ.	because it was the forgetfulness of death.	he had confided his property which he had heard
ساه کسؽ که هرگز ملاقاتس نکهڌه بؽ.	the shadow of someone she had never met.	That's why he's never met her.
سا زه باوت رنجؽڌه و مشه‌مۊل ٱوؽڌه بؽ.	more than anything else, it troubled and irritated him.	He suffered badly from too much fluid in the tissues of his body and began to suffer badly from too much fluid in the tissues of his body.
مو هم لنڳؽ سهشت بئدرؽ جوسوم.	I felt a tiny bit better, too.	I put the phone down sadly.
ٱمای تی خو هو نه قڤۊل نکهڌ ۉ باور نکهڌوم.	but I decided that was nonsense.	But you didn't convince me.
هارچه زر بؽ من کف چل هو رؽسسوم	poured all the gold into his palm	I stole in on tiptoe.
ٱمای دؽ وه انجوم ئؽ شون واهرنڳ نبؽ.	but he could no longer do it.	but she did not suffer him to suffer badly from too much fluid in the tissues of her body.
ئؽ زرڤه نه وا شهامت تحمل کهڌ.	he took the blow bravely	He had to endure this journey in peace.
ٱمای همؽو که مراسم بهؽگ تاتس	but when the wedding days were over	but the ceremony was interrupted
که تل تؽار من یه دمۊن پلوفس.	as for a moment their hearts sank in.	that everyone was just like me.
ٱمای تؽلس اؽنؽ یسره متفاوت اؽگو.	but her eyes spoke quite differently.	But the divorce was finalized.
چؽکه هاردۊن لاوهند جلفؽ ڤور لاو هؽنسن.	for both were idly smiling.	they got to the woodpile that was in front of my tree, and slipped in behind it, and so they had the bulge on the men again.
ٱمای سا آشکا نبؽ که هو من اۊ تۊ بۊ.	the woman, who may not have been there.	But it didn't leave me feeling the unpleasant consequences of that secret.
وه هو نؽشت‌هن دهسوم ۉ وه تؽگوم چل کشسوم.	I grinned at her and touched my forehead.	I drew him out of my mouth and pulled him out of my mouth.
من بؽ دونڳؽ تؽار تی هومسرس ویساڌه بؽ.	she had stood by her husband's side perfectly silent	I was looking at your face just now.
که وه پرؽن کشتؽ که ورخرد بوکونؽم.	to speak the first ship I sight	that would surprise me to hear about it.
طبق فرمۊݩ عزروئؽل سرتال وه بفنؽڌن مؽلس کهڌ.	she braided her long hair	he had avoided passing through the villages of his nostalgia.
په تؽار فرمۊݩ هو نه اطاعت کهڌوم.	I obeyed him to the letter.	I hastened to obey him.
زه سرتال عصرۊنه تا همؽسا قلؽوه لنڳ خردؽن.	you have scarcely tasted since you began tea.	they flew into the passage crying for help.
اؽما وؽرمۊنه وندؽم وه گول گشت خومۉن منه ٱۉ.	we turned our attention to our voyage	we had shoved off and given way.
سؽ هو که قضیه مربۊط وه داس بؽ.	for the matter concerned his mother.	That's why he's in charge.
دؽربینسه ڤورداشت و ره سی نیم دری.	snatched up a pair of binoculars, and stepped to the window.	He picked it up and sat down and then he leaned his head in the water.
هو گوڌ که هؽچ همقو زؽ تؽره تو نبؽڌوم.	I never expected you so soon, he said.	He said I didn't mean to provoke you in any way.
ز تۊ رئڌوم ز دؽنس.	I followed her from the room.	I've been looking for a way to do something for you.
هم دؽوارا هم گل نه تر کرده بؽ.	that had left both walls and floor soaking wet.	round the bend, kissed her cheek.
واس که وه ترات ره.	it was important, therefore, that he should make haste.	That's why he came in.
کلکاس رئڌن منه گل.	his fingers dug into the ground	dropped her riding habit, and stumbled over it.
دؽ مجبۊر بؽڌوم دونگ نڌوم.	I was therefore forced to hold my peace.	then I called him a beggar.
چی سی گوڌن نڌاشت دوڤارته بستس.	couldn't think of anything to say, and closed it again.	tied it to the other side of his collar like reins over his neck
ز صۉ تا شۉ تؽره بؽ که هو بیا.	all day long she waited for him to come.	From sunrise to sunset.
دی وقت نؽکونوم ز نۊ خۉنومس و راستس کونوم.	I shall have no time to read it over and correct it	I won't have time to learn it and do it right.
ڤ ترات ره سؽ نیمدری خواست گوشس.	hurried to the window and tried to open it	He insisted he stay in the same attitude of close observation.
یه دوئڌر که گوی پۊنزده سالس بؽ زی بدر و تؽس واستاڌ.	a girl of about fifteen ducked out, straightened.	The girl, who was 15 years old, suddenly fell asleep.
دوینا کۊچؽر و پی سوستس هی جوئمه.	his small and insecure world tottering.	I put the helm up to run before him
هر چه که دونستن همیو بؽ.	but all they knew was	humming a tune, reach for her comb and run it through her hair.
جختی ز طبقه وارویؽ ویڌ بؽ بلم.	he had just descended from the upper storey.	I was soon skimming up the ladder.
ولؽ دوڤارته گۊلس زیڌ.	but lured him back again.	but he repeatedly disobeyed.
هو هوڤار هوڤار خۊ وابؽڌ.	she recovered from it slowly.	He was buried in the cemetery.
واستاڌن که وایک شۉر کشن.	stopped to take counsel together.	They got up and went to Shame's room.
کڌه ره وس قۉل دام که سؽس سئڌی نوؽسوم.	I promised, on the road, to write to her.	I rolled the switch to the keyboard.
هو وا منه جا بۊ و دوگتور کلس بۊ.	he ought to be in bed, under the hands of a doctor.	He got up and went to Shame's room before he went down.
