en_sentence	fa_sentence	translation	variety (Hawraman Takht|Lhon|Jawaru)	county	orthography	translator	7794
yet never a skiff come close enough for me to hail.	حالا هیچ قایق مایقی هم نمیر سه که دست تک ون بدم بیاید جلو	وەلێ هیچ وەختێ بەلەمێ ئننە نزیک نەکۆتۆ کە من تەپوتۆزی کەروو	Lhon	Biyare	Hawrami	HHH	
because he was a man apart.	زیرا یک مرد منزوی بود.	چون پیەوێ جیاواز بێ	Lhon	Biyare	Hawrami	HHH	
that might embarrass me	باعث شرمندگی می شه	ڕەنگا ئەنەی شەرمەزارم کەرۆ	Lhon	Biyare	Hawrami	HHH	
all too human creatures.	همه انسانیم و جایزالخطا.	گردشا مەوجووداتو ئینسانی	Lhon	Biyare	Hawrami	HHH	
whereupon they stole off unperceived.	در ین هنگام بی آنکه کسی ایشان را ببیند پا به فرار گذاشته بودند.	سەرو ئانەیچ بێ ئانەی هەستش پەنە کەرا دزیشا کەرد	Lhon	Biyare	Hawrami	HHH	
I woke up last night in a cold sweat and I just thought to myself, if this is true, the world doesn't make sense any more.	دیشب خیس عرق از خواب پریدم و فکر کردم اگه این مورد حقیقت داشته با شه دی گه هیچ منطقی تو دنیا وجود ندا ره.	هیزی شەوی بە ئارەقێوە سەرد وەرمەنە هورێستانی و تەنیا دڵو وێمەنە واتم، ئەگەر ئینە ڕاس ب، دنیا چیتر ماناش نیا	Lhon	Biyare	Hawrami	HHH	
call out the militia.	قوای دفاع محلی را برای جنگ آماده سازید.	بانگو میلیشیاکەی کەردێ	Lhon	Biyare	Hawrami	HHH	
I put on my smile again.	دوباره لبخندم را روی صورتم گذاشتم.	جارێو تەر زەردەخەنێم کەرد	Lhon	Biyare	Hawrami	HHH	
he said and left the room.	این را گفت و از اتاق بیرون رفت.	واتش و ژوورەکەش جیا ئاست	Lhon	Biyare	Hawrami	HHH	
you would have been taken in	تو باید باور کرده باشی.	تو کریێینی چووەر	Lhon	Biyare	Hawrami	HHH	
I didn't take it!	من پولی برنداشتم.	من ورم نەگێرت	Lhon	Biyare	Hawrami	HHH	
I deleted it.	آن را پاک کردم.	سەڕیمۆ	Lhon	Biyare	Hawrami	HHH	
following hard upon the footsteps of our friend.	سخت در تعقیب رد دوستمان بود.	بە تننی دماو یاگەپاو ڕەفیقەکێما گنمێ	Lhon	Biyare	Hawrami	HHH	
I saw what he meant, and for a moment the room swam around me.	منظور او را فهمیدم و برای یک دقیقه اتاق دور سرم چرخید.	دیم مەبەستش چؽشا و پێ لەحزێ ژوورەکە دۆرمەنە خولیاوؽ	Lhon	Biyare	Hawrami	HHH	
lovely boy though she must have been	آن پسرک زیبا و فاخری که با متانت در آنجا حضور داشت	کورێوی وەشەوەس هەرچنە ئاﮆی مشۆم بنە	Lhon	Biyare	Hawrami	HHH	
I would gladly eat a bit of something	هرچه باشد من قانع خواهم بود	بە تەمامو وەشحاڵی چێوێم وارد	Lhon	Biyare	Hawrami	HHH	
it was marching on six immensely long, hairy legs	موجودی بود با شش پای عظیم پوشیده از موهای بلند سیاه.	بە شش پای درێژ و موودار ملای ملا ڕاوە	Lhon	Biyare	Hawrami	HHH	
but not mad.	ولی حماقت نه.	وەلێ سەکران نیا	Lhon	Biyare	Hawrami	HHH	
I and my life are like a young man and his betrothed.	من و زندگی حالا شبیه بمرد جوانی با نامزدش هستیم.	من و ژیانم پێسە گەنجێو دەسگیرانەکێشێنمی	Lhon	Biyare	Hawrami	HHH	
on his last visit this had struck him	دفعه پیش هم او این فکر را کرده بود	جە ئاخەرین سەردانش ئانە کاریگەریش سەرۆ بی	Lhon	Biyare	Hawrami	HHH	
there's the window and the rod	پنجره و میله برق گیرم هست.	پەنجەرە و کاردەکؽ هەنؽ	Lhon	Biyare	Hawrami	HHH	
twenty six battalions rode to meettwenty six battalions.	بیست و شش گردان پیاده منتظر این بیست و شش گردان سوار بودند.	ویس و شش جێیشی سواربێنێ تا با ویس و شش جێیشی کۆباوؽ	Lhon	Biyare	Hawrami	HHH	
my mother and sister.	هم مادر و هم خواهر را.	ئەﮆام و واڵێم	Lhon	Biyare	Hawrami	HHH	
everybody knows that.	همه از این موضوع آگاه هستند.	گرد ئانەی مزانا	Lhon	Biyare	Hawrami	HHH	
I've run quite out of it.	چای تمام شده.	من بە تەمامی ئیستفادەم وەنە کەرد	Lhon	Biyare	Hawrami	HHH	
she was only afraid of the expression of his displeasure.	تنها از حالت ناخشنودی او بیم داشت.	تەنیا جە وروستەی ناڕازیبیەی ئاﮆی تەرسۆ	Lhon	Biyare	Hawrami	HHH	
I am alone in charge of three hospitals with more than four hundred patients!	که من باید به تنهایی چهارصد بیمار را در سه بیمارستان معالجه کنم!	من تەنیا وێم بەرپرسو یەرؽ نەوەشخانەینا کە زیاتەر جە چوار هەزار نەوەشم هەنێ	Lhon	Biyare	Hawrami	HHH	
but I hope it's really hurting him	اما هر چی هست امیدوارم خیلی درد داشته با شه و اذیتش کنه.	وەلێ هیوادارەنا بەراسی ئازارش دﮆۆ	Lhon	Biyare	Hawrami	HHH	
save me again!	این بار نیز خلاصم نمایید.	دوبارە پارێزنەم	Lhon	Biyare	Hawrami	HHH	
I shall be at the cottage this evening	من باید شب را در کلبه باشم.	ئی وێرەگانە کوخەکەی بنە	Lhon	Biyare	Hawrami	HHH	
he again seized his trumpet	بار دیگر بوق را به دهان گرفت	دیسان دەسش گێرت سەرو شمشاڵەکەیەرە	Lhon	Biyare	Hawrami	HHH	
but I'm damned if I sympathize.	ولی از همراهی متاسفم.	وەلێ ئەگەر هەمدەردی کەروو نەفرەتم وەنە	Lhon	Biyare	Hawrami	HHH	
who looked stonily back.	هری نیز مات و مبهوت به رون نگاه کرد.	کە بە تەماشێوی تەوەنی تەماشاو پەشتش کەرد	Lhon	Biyare	Hawrami	HHH	
he was horribly shaken	سخت بهت زده شده بود	بە نۆعێ تەرسناکی لەرزای لەرزیۆ	Lhon	Biyare	Hawrami	HHH	
began to pin her rose in her head dress	گل سرخ خود را برگرفته به روسری خویش نصب کرد.	دەسش کەرد بە چەقنای گوڵەکێ دلو لەچکەکێش	Lhon	Biyare	Hawrami	HHH	
drawing his sword	شمشیر به دست گرفت	شمشێرەکێش کؽش	Lhon	Biyare	Hawrami	HHH	
already getting ready to change back again.	از قبل برای دوباره تغییر کردن آماده شده بود.	وێش حازر کەرۆ پەی فاڕای دووبارە	Lhon	Biyare	Hawrami	HHH	
I looked into my still full coffee cup.	به فنجان هنوز پرم نگاه کردم.	تەماشەو کوپو قاوەکێم کەرد کە هیشتای پەڕە بی	Lhon	Biyare	Hawrami	HHH	
as I rode on, the gloom cleared.	بار دیگر به راه افتادم و غم و نگرانی خاطر را فراموش کردم.	وەختێ سوار بێنا، تاریکیەکە تەمام بی	Lhon	Biyare	Hawrami	HHH	
it was like a change below the surface of water which remains smooth.	تغییری مانند سطح آرام دریایی که در اعماقش طوفانی برپاست.	پێسە گۆرانکاریێوە بی چیرە ئاوی کە بە نەرمی مەنۆوە	Lhon	Biyare	Hawrami	HHH	
who is now in his mid forties	که حالا در سنین میانی چهل سالگی است	کە ئیسە ئینا دلو چلەکاو تەمەنیش	Lhon	Biyare	Hawrami	HHH	
such is the law of nature.	این یک قانون طبیعی است.	قانونو سروشتی پێسەنە	Lhon	Biyare	Hawrami	HHH	
if you aren't as big a bunch of dunderheads as I usually have to teach.	البته مشروط به این که شما مثل شاگردهای سابقم خنگ و کودن نباش ین.	ئەگەر شمە ئننە گۆرە نیەندؽ کە مشۆم من دەرستا دۆنە	Lhon	Biyare	Hawrami	HHH	
I've such an idea for a cotillion!	من یک عالی در نظر دارم.	فکرێوەم هەن پەی کۆتلیۆنی	Lhon	Biyare	Hawrami	HHH	
I am a selfish girl!	من یک دختر خودخواه هستم!	من کناچێ وێپەرستەنا	Lhon	Biyare	Hawrami	HHH	
I went into the wigwam	داخل آلونک شدم	من لوام پەی کوخەکێ	Lhon	Biyare	Hawrami	HHH	
which exactly suited me.	که درست مناسب من بود.	کە بە تەمامی چەنی من گونجیۆ	Lhon	Biyare	Hawrami	HHH	
I have no other friend like her and never shall have.	من رفیق دیگری مانند او ندارم و نخواهم داشت.	من هیچ ڕەفیقێ تەری پێسە ئاﮆیم نیا و مەبۆیچم	Lhon	Biyare	Hawrami	HHH	
he pulled out an enormous peacock quill.	لاک هارت قلم پر طاووسی از جیبش درآورد	ڕیشێوە گۆرەی تاوسەکەیش بەرئارد	Lhon	Biyare	Hawrami	HHH	
but he might be rendered unhappy	البته ممکن است که تنهایی برایش ناراحت کننده باشد	وەلێ ڕەنگا ئاﮆی ناڕازی بۆ	Lhon	Biyare	Hawrami	HHH	
I don't want to talk about it.	نمی خوام دربارش حرفی بزنم.	گەرەکم نیا قسێش سەر کەروو	Lhon	Biyare	Hawrami	HHH	
for you to go on fighting with	حالا دیگر با شماست که بجنگید.	پەی ئانەی جەنگەنە بەردەوام بی چەنیش	Lhon	Biyare	Hawrami	HHH	
for, in spite of you and your ass	زیرا بر خلاف میل شما و خر شما	پۆوچی وێت و هەرەکێت	Lhon	Biyare	Hawrami	HHH	
I doubt it.	من شک ندارم.	من گومانم هەن	Lhon	Biyare	Hawrami	HHH	
then the horror of utter darkness reigned!	بعد وحشت تاریکی کامل حک مفرما شد.	دماتەر تەرسناکی تاریکیێ تەمام حوکمش کەرد	Lhon	Biyare	Hawrami	HHH	
nobody could be!	شاید از شما بهتر اصولا یافت نشود.	هیچ کەسێ نەتاوؽ ب	Lhon	Biyare	Hawrami	HHH	
he gave up thinking about it.	حتی به فکر آن هم نبود.	وازش جە ویرکەردەوەی چا مەوزوعیە ئارد	Lhon	Biyare	Hawrami	HHH	
must toil incessantly for three or four weeks, three times as hard as usual, living on rye beer, onions,	باید سه چهار هفته بلاانقطاع جان بکنند و به آبجو و پیاز و نان سیاه بسازند	مشم یەرؽ چوار هەفتێ بێ مدرای زەحمەت کؽشۆ، یەرؽ ئننەی زەحمەتتەرا جە وەختو ئاسایی، ژیوای چەنی بیرەو جاجمی و پیازی	Lhon	Biyare	Hawrami	HHH	
they spoke of playing charades, but in my ignorance I did not understand the term.	صحبت از چیستان بازی به میان آمد اما من با مفهوم این اصطلاح کاملاً بیگانه بودم.	باس جە گەمەکەردەو چارادسی کەرؽنؽ، وەلێ جە نەزانیمەنە چا کەلیمؽ نەیاوانؽنە	Lhon	Biyare	Hawrami	HHH	
till we start south.	تا وقتی رو به جنوب راه نیفتیم.	تا دەسکەرمێ باشوور	Lhon	Biyare	Hawrami	HHH	
that's why he wanted to marry me!	برای همین بود که قصد داشت با من ازدواج کند.	وەرو ئانەی گەرەکش بی چەنی من سامسەرگیری کەرۆ	Lhon	Biyare	Hawrami	HHH	
it was the smell of gas.	بوی گاز بود.	بﯢەو غازی بؽ	Lhon	Biyare	Hawrami	HHH	
I look up blearily.	سرم را بالا کردم. هنوز چشمانم خواب آلود بود	بە تاریکیۆ سەر بەرز کەرۆوە	Lhon	Biyare	Hawrami	HHH	
we are good friends with him	من و او با هم دوست هستیم.	ئیمە ڕەفیقێ عالێنمی چەنیشا	Lhon	Biyare	Hawrami	HHH	
dressed in full mourning	سراپا لباس عزا به تن کرده	جلێ ماتەمینیؽ تەمامؽشا وەرەنە بؽ	Lhon	Biyare	Hawrami	HHH	
her father had changed so much that	پدرش آن قدر عوض شده باشد که	تاتێش فرە فاڕابێ کە	Lhon	Biyare	Hawrami	HHH	
hearing something snap in his verist.	در مچ دستش صدای شکستن چیزی را شنید.	ژنەویەو دەنگو چؽوؽ مەڕی جسمەنە	Lhon	Biyare	Hawrami	HHH	
it was like a fresh slap in the face.	مانند یک سیلی بودند که تازه به صورت زده شده بودند.	پێسە شەقێ تازەی بێ چڕوچەمەنە	Lhon	Biyare	Hawrami	HHH	
he seemed to feel his personal safety was in question.	ایشون احساس کردن که جونش ون در خط ره.	پاسەی ئامێ وەرچەمەنە کە هەست کەرێ سڵامەتی وێش ئینا چیرو پرسیاری	Lhon	Biyare	Hawrami	HHH	
closed the door behind him.	در را پشت سرش بست.	بەرەکێش پەشتشۆ ژەنی	Lhon	Biyare	Hawrami	HHH	
she had no ear	گوش موسیقی نداشت	گۆشێش نەبێنێ	Lhon	Biyare	Hawrami	HHH	
he said you'd resigned.	اون گفت که شما استعفا داد ین.	واتش دەست جە هەرمانؽ کێشانﯢ	Lhon	Biyare	Hawrami	HHH	
I owe you the proofs and explanations of what I have said.	اکنون چیزی که مرا باقی مانده این است که مدلل نمایم دعوی خود را.	من قەرزارو شمەنا چا بەڵگە و ڕوونکەردەوەیەی کە دابؽم	Lhon	Biyare	Hawrami	HHH	
I says, that's what you get for narking ME!	بهشون گفتم اینم نتیجه اینکه منو لو دادی!	ماچوو، ئانە ئانەنە کە بە دەسش ماری پەی نیشاندایم	Lhon	Biyare	Hawrami	HHH	
you'll see nothing to provoke you.	در قیافه من چیزی که خاطر شما را آشفته سازد وجود ندارد.	هیچ چێوێ مەوینی کە ئیستیفزازت کەرۆ	Lhon	Biyare	Hawrami	HHH	
for death is in this house	مرگ به این خانه روی کرده است	وەرە ئانەی مەردەی چی یانەنە هەن	Lhon	Biyare	Hawrami	HHH	
where it was certainly impossible for any one	به حایی که غیر ممکن بود برای کسی	کە بە دڵنیاییۆ پەی هەر کەسی مەحاڵ بی	Lhon	Biyare	Hawrami	HHH	
