Em diçin!	We're going!
Himm Masîstêr … Gulstêr … Aha! Komstêr!	Himm Masister ... Gulstar ... Aha! Constellation!
Mişkên pirtûkxaneyê jî niha heman tiştî dikin, Kutik.	Library mice are doing the same now, Kutik.
Ez pir kêfxweş bûm.	I was very happy.
Belkî li pirtûkxaneyê pirtûkek hebe ku bi saya wê tu tiştan bi awayekê din bibînî.	Maybe there is a book in the library that will help you see things in a different way.
Lê ez tim şaşîyên sêhrbazîyê dikim!	But I always make magic mistakes!
Ooo!	Ooo!
Mixabin na. Ez Seg im û ev jî Pug e.	Unfortunately no. I'm Seg and this is Pug.
… fereka van pêlavan e!	... the price of these shoes!
Pug, divê ez lêborînê ji te bixwazim. Min negot tu jî bi me ra bilîze.	Pug, I have to apologize to you. I didn't tell you to play with us.
Lê goştê sorkirî xweş e, Dayê.	But roast beef is delicious, Mom.
Va ye em hatin cihekê xweş û aram yê ku me di hişê xwe da çêkir.	Here we come to a beautiful and peaceful place that we have created in our minds.
Ev der ne plaj e, Pug.	This is no beach, Pug.
De em lê bigerin!	Let's look for it!
Erê lo. Ez ji cinawiran ditirsim.	Hell yeah. I'm afraid of monsters.
Sihet xweş, Pug. Me bambûyeka qerase ya li daristanê veşartî kifş kir.	Good luck, Pug. We discovered a thick bamboo hidden in the forest.
Ji bo ku we îro alî min kir, ez dê xelatekê…	For helping me today, I will give you a reward…
Li vir tu kes tune ye. Bi tenê… penguen, penguen û penguen hene. Wisa dixuye ku ew nacemidin.	There is no one here. Simply put… there are penguins, penguins and penguins. They don't seem to freeze.
Heyfa vafiroka min. Ez dê nikaribim wê tamîr bikim. Binêrin. Hemû darik şikestine.	Sorry, my vafiro. I will not be able to repair it. Look. All the trees are broken.
Her bijî, Seg!	Long live, Seg!
Ez we silav dikim lêgerên tiştên tevlihev û aloz. Di van rûpelan da hûn dê gelek tiştan bibînin ku ew dê we bibin…	I salute you seekers of complex and complicated things. In these pages you will find many things that will make you…
Gelo li dikanê pirtûkeka din heye ku bi kêrî me were?	Is there another book in the store that would be useful?
Tiştanoka din!	Another thing!
Bi saya wênesazê mezin Pugkaso min ronî dît. Vî aqilmendî rêya hunerê nîşanî min da.	Thanks to the great painter Pugkaso I saw the light. This wisdom showed me the way to art.
Em dê çi bikin?	What will we do?
Pug, ez dizanim ku tu li paş wir î. (kenîn)	Pug, I know you're back there. (laughter)
Çawa ku Çêlekê xwe di ser astengê ra avêt, hûn dê dest pê bikin.	You will start as the Frog jumps over the hurdle.
Bi rastî?	By the way?
Silav, xortino!	Hello, guys!
Xwe bidin alî, Seg û Pug! Hoop!	Step aside, Seg and Pug! Whoops!
…ez ji pirtûkên ku…	...I like books that...
Seg û Pug tên sahneyê…	Seg and Pug come to the scene...
Ez dikarim lê binêrim?	Can I look at it?
Gelo em li ku derê ne? Wîîîî!	Where are we? Whoa!
Em gera xwe ya şevê didomînin.	We continue our night tour.
Hevalên min yên nû!	My new friends!
Dibe ku em bikarin lîstikên nû hînî te bikin.	Maybe we can teach you new games.
Ez im.	I am.
Nexwe ev der mejîyê Segî ye!	This is Segi's brain!
Tu amadekarîyên şahîyê bike û em dê jî gazî hevalên xwe bikin.	You prepare the entertainment and we will invite our friends.
Himmm, ez ji goreyan dikevim şikê.	Hmmm, I'm confused by the graves.
Silav Pug. Silav Seg. Hûn bi xêr hatine Hîmalayan. Min hêvî dikir ku dengê min Yetî bîne da ku ez wêneyê wî bigirim. Lê ez bi dîtina we jî xweşhal bûm.	Hi Pug. Hello Seg. Welcome to the Himalayas. I was hoping my voice would bring the Yeti so I could take his picture. But I was also happy to see you.
Xeman nexwe, berî ku tu bibêjî xewxweş...	Don't worry, before you say goodbye...
Segstêrk Yek, were vir!	Star One, come here!
Tu dikarî… pê bilîzî-	You can play...
Ez dixwazim tenê bim.	I want to be alone.
Qedîya. Lê niha jî dilê min diçe pîzayekê!	It's over. But now my heart goes to a pizza!
Û milê çepê… û mejîyê wî. Karton tiştekê gelekî tevlihev e!	And his left arm… and his brain. Cardboard is a very complicated thing!
Deh! Oooooa!	Ten! Ooooo!
Ez nikarim bibînim bê mişk xweş dansê dikin yan na.	I can't see if they dance well without mice.
Ihim	Ihim
Cinawirekê şatoyê heye, heta niha kesî ew nedîtiye. Lê dema ku dengê wî tê…	There is a monster in the castle, no one has seen it yet. But when his voice comes...
Hey, kî?	Hey, who?
Tu hatî malê. Tu hatî malê. Tu hatî, Seg.	You have come home. You have come home. You're here, Seg.
Çûkekê dêw?	A giant bird?
Lê tu her roja înîyê serê xwe dişoyî. Wêrek be.	But you wash your hair every Friday. Be brave.
Belkî li dikanê pirtûkek hebe ku bi kêrî me were.	Perhaps there is a book in the store that would be useful.
Aha! Ev dîsa ew deng e.	Aha! It's that voice again.
Bif, axt.	Bif, ass.
Û neh…û deh!	And nine...and ten!
Pepikên min nikarin rûpelên pirtûka min bizîvirînin.	My babies can't turn the pages of my book.
Kimîl xwe baş vedişêre. Lewra dîtina wê dibe ku wext bigire.	Kimil hides well. So finding it may take time.
Seg! Binêre, ev tişt bi dîwarê kuna min ve dixijikî jor!	seg! Look, this thing is climbing up the wall of my hole!
Erê, ji ber ku ev nexşeya deryayê ye. Min ew xêz kir.	Yes, because this is a sea map. I drew it.
Lê herî zêde û ji her tiştî bêhtir… ez ji çîrokên ku...	But most of all... I love the stories that...
Em careka din têk naçin.	We will not fail again.
Na. Pêşî divê em bidin ser rêya berwarê kevirî û apê Quentîn ji wê qesra kavilbûyî rizgar bikin.	Are you here. First, we have to go to the stone path and save Uncle Quentin from the ruined palace.
Me şopên pepikên wê yên li ser xîzê şopandin.	We followed her paw prints on the straw.
Îcar mişkên pirtûkxaneyê jî pirsa "Çima?" ji min dikin!	So the library mice also asked the question "Why?" from me!
Ew baştir e.	It is better.
Na, de em tekerên xwe bibiriqînin.	No, let's shine our wheels.
Li vê ecêbê! Tiştek tune!	In this wonder! Nothing!
Hişşş! Yek tê vî alîyî!	Hush! One comes this way!
Wîîî. Dîsa yê dawî.	He The last one.
Dema kar e!	It's time to work!
Ew pastayan pir xweş çêdike.	She makes great pastas.
Nexwe tu jî bibe… Pîramus.	Or you too... Pyramus.
Wê berde, dev-bambûyê!	Leave it, bamboo mouth!
Bêguman! Ez Merlîn im – ez sêrbaza Şah Arturê qenc im.	Of course! I am Merlin - I am the good wizard of King Arthur.
Mixabin ez dê nûçeyeka nexweş bidim te, Dapîrê. Ev şopên lingên me ne!	Unfortunately, I have some bad news for you, Grandma. These are our footprints!
Boww!	Bow!
Bi ya min eger tu bi awayê xwe bimînî, ew dê pir baştir be. Tu weha çêtir î.	In my opinion, if you stay the way you are, it will be much better. You are better like this.
Ji ber mijê wisa dixuye, Pug. Bi mijê ra sermayeka ecêb jî heye.	It looks like it's because of the fog, Pug. There is also a strange coldness with the fog.
Ecêb e… ez êdî wî nabînim. De em li derdorê binêrin.	It's weird… I don't see him anymore. Let's look around.
Em li wan bigerin?	Should we look for them?
Em herin ser nêrdewanê, Seg?	Shall we go up the ladder, Seg?
Ku tu bibî cewrik, divê rûyê te bipûrt be!	To be handsome, your face must be shaved!
Ev pirtûk li ser tiştekê taybet e ku mirov li ser deryayê dide ser xwe. Navê pirtûkê…	This book is about something special that people do on the sea. The name of the book...
Seg, ez hîleyên sêhrê dikim! Kartekê bikişîne. Tu kîjanê bixwazî…	Seg, I do magic tricks! Draw a card. Which one do you want...
Şopên pepikan diçûn ber dîwarekê bistrî yên daristanekê.	The footprints of the babies went to a wall like those of a forest.
Li vê ecêbê! Nexwe em herin xwe di bin qalikên berûyan da veşêrin? Em dê xwe ji morîyan biparêzin.	In this wonder! Shouldn't we go and hide under the bark of the trees? We will protect ourselves from seals.
Min ji wê pirtûkê pir hez kir.	I really liked that book.
Henekbaz… Dîlanhez… Aha! Rekorşikên!	Jokes... Dancers... Aha! Rekorsikken!
Binêre, Seg. Ta da!	See, Sec. That's right!
Dîyar e ku di xetereyê da ye.	It is clear that it is in danger.
Vê şeva hanê û Segek!	This night and Segek!
Ev pirtûk di derheqê hevsengîyê da ye. Û navê wê…	This book is about balance. And her name...
Mixabin ne ew bû, Pug. Ew karta te ya Dikana Biskiwîtên segan e.	Unfortunately it wasn't him, Pug. It's your Dog Biscuit Shop card.
Ji ber vê yekê fenera deryayê pir giring e. Ew hişyarîyê dide keştîyên ku nêzî zinaran dibin. Divê fener heta sibehê ronî bide yan na…	Therefore, the sea lamp is very important. It warns the ships approaching the rocks. Should the lantern shine until morning or not...
Ev pirtûk li ser wênesazên mezin e. Û navê wê…	This book is about great painters. And her name...
Û rekora yekem pugê ku li Cemsera Bakur dozîneyek biskiwîtên segan û morsek li ser pozê xwe da sekinandin, bû ya… Pug!	And the record of the first pug who stopped a dozen dog biscuits and a walrus on his nose in North Cemsera was… Pug!
Ev der dişibe cihekê xweş.	This looks like a nice place.
Ez dê êdî bi awayê berê li stêran nenêrim.	I will no longer look at the stars the way I used to.
Tu van sicûqan bi çavên serê xwe nabînî!!	You can't see these things with your own eyes!!
çîreçîr?	what about
Oh. Ow.	oh Oh.
Û navê pirtûkê…	And the name of the book...
Û segên wî…	And his dogs...
Êvar baş, Heyv Beg. Ez Seg im û ev jî Pug e.	Good evening, Heyv Beg. I'm Seg and this is Pug.
Hilnekişe ser çarçoveyê! Min niha ew çêkir!	Do not lift the frame! I made it now!
Xeman nexwe, Seg. Ez dê wî bînim!	Don't worry, Seg. I will bring him!
(kenîn) Seg, kêfa van aferîdeyên biçûk ji min bêhtir ji te ra tê!	(laughter) Seg, you enjoy these little creatures more than I do!
Ez ronîyeka geş dibînim… ew tiştekê baş e!	I see a bright light...it's a good thing!
Û bi wî awayî me ji cihê herî veşarî yê aferîdeyên newaze û nepen yên ku her carê me şaşwaz dikin xatirê xwe xwast. Dawî.	And that's how we said goodbye to the most hidden place of mysterious creatures that surprise us every time. The end.
Erê, Segmar. Em nêçîra wê dikin.	Yes, Segmar. We hunt for it.
Biskiwîtên li ser tekeran!	Biscuits on wheels!
Dîsa bi destûra we.	Again with your permission.
Aah! Brrr brrr. Brrrrrrrrrrrrrr.	Aah! Brrr brrr. Brrrrrrrrrrrrr.
Oh...Oh...	Oh...Oh...
(kenîn) Botom.	(laughter) Bottom.
Bidomîne, Wîlow. Kes pê nehesîya.	Keep going, Willow. No one noticed.
ez hêvî dikim ku we her der ecibandibe ku bi rêberîya min kon lê veda.	I hope you enjoyed wherever I camped.
A rast, Pisîkê Çeşirê ajelekê pir mizawir bû, lê li paş wî kenê wî yê ecêb û xinis siruşteka wî ya şîrîn û nerm hebû û ew bû pisîkê herî baş yê serayê.	True, Cheshire Cat was a very talkative eagle, but behind his strange and mischievous smile, he had a sweet and gentle nature and he became the best cat in the greenhouse.
Himm, bi min divê em bi cinawirê xwe ra hevrû bibin.	Hmmm, I think we have to face our monster.
We dixwast ku li cihekê wisa betlaneyê bikin, ne?	You wanted to vacation somewhere like that, right?
Aha! Tu dixwazî bibî yekem Pugê ku gihîştîye Cemserê?	Aha! Do you want to be the first Pug to reach Cemser?
Lê haya min ji qesra te tune bû.	But I didn't know about your palace.
Ji kerema xwe lez bike! Em li benda destpêkirina pêşbirka xwe ne.	Please hurry! We are waiting for the start of our competition.
Dadik… Jîrik… Aha! Şîîreên Zarokan!	Grandma... Cunning... Aha! Children's Poems!
Em ji hev veqetin?	Shall we break up?
Pir baş e! Wîîî. Ooo	In charge! He Ooo
Û ez ne qirdikeka baş im. Êdî ez ji bilindahîyê ditirsim, lewra lingên min yên qirdikan ji erdê naqetin. Ez ne akrobat in! û ne jî Splendînaya Gewre.	And I'm not a good kid. I'm afraid of heights now, so my crampy feet don't leave the ground. I am not an acrobat! nor the Great Splendid.
Ev der kaxezeka vîkîvala ye.	This is a weekly paper.
Yanî/Hinekî. Min li jêrzemînê hem pratîka sorfê dikir hem jî ya xwendinê dikir.	I mean/somewhat. I was practicing surfing and studying in the basement.
Em dê te xelas bikin!	We will save you!
Te dît? Ez nikarim tiştekê rast bikim.	Have you seen? I can't fix anything.
Ev pirtûk qala pêşbirkeka ku li Awistralyayê çêbûye dike û navê wê	This book is about a competition that happened in Australia and its name
Gelo tu dixwazî vê carê rêberîya medîtasyonê bikî, Seg?	Would you like to lead the meditation this time, Seg?
Va ye şefê orkestrayê jî hat.	Here comes the conductor of the orchestra.
Pug? Te hîn tiştekê bisêhr nedîtîye? (bêhnçikîn)	Pug? Haven't you seen anything magical yet? (sigh)
Ez dê bi serpêhatîyeka bêhempa we bibim nava dinyayeka ecêb ya aferîdeyên newaze yên çend gavan di binîya pêyên we da…	I will take you on a unique adventure into a wonderful world of incredible creatures just a few steps under your feet...
Min ji te ra dîyarek jî kirî.	I also bought you a gift.
Navê wê bi Byê dest pê dikir û min ew xist bin loda tiştên din yên ku bi Byê dest pê dikin.	Her name started with B and I filed it under other things that start with B.
Bêdeng bin. Ez hewl didim ku li vir ji xwe ra hinekî bifikirim!	Be quiet. I'm trying to think for myself here!
Ev pirtûka wêneyên rengandinê ne.	This is a coloring book.
Û muzîkeka xweş!	And nice music!
Ew qepûşkekê şîrîn bû.	It was a sweet cake.
Min leşkerên giran têk birin! Min pîrebokên erjeng têk birin!	I defeated heavy soldiers! I defeated the old men!
Lê herî zêde û ji her tiştî bêhtir…	But most of all...
Hûn bi xêr hatin tiştanoka yekem. Di navbera we û kopyayên we da pênc cudahî hene. Hûn dikarin wan bibînin?	Welcome to the first article. There are five differences between you and your copies. Can you see them?
Silav, navê min Seg e û ev jî… ihi Pug e!	Hi, my name is Seg and this is… ihi Pug!
Ez ji -	I also -
Kendava Şûrî! Ez hatibûm vê derê.	Gulf of Syria! I came here.
Dapîra Pug. Em Seg û Pug in. Tu li ku derê yî?	Grandma Pug. We are Seg and Pug. Where are you?
Lê karê min ew e ku nehêlim kes derbas bibe. Lê aah…	But my job is not to let anyone pass. But ah...
Li min bibore, Seg.	I'm sorry, Seg.
Bi min ew al ya keştîya korsanan e, Pug û vaye korsanek tê vir.	I think it's the flag of the pirate ship, Pug and here comes a pirate.
Tu dixwazî bibî pisîk?	Do you want to be a cat?
Himm. Li vê ecêbê! Gelo ew çi dixwazin?	Hmm. In this wonder! What do they want?
Seg û Pug, we ez girtim, lê berî ku hûn min radestî Bilî Barkir bikin, ji kerema xwe li vir binêrin.	Seg and Pug, you got me, but before you hand me over to Billy Barkir, please look here.
Li vir têra tevahîya malbat û hevalên me bambû hene!	There is enough bamboo for our entire family and friends!
Min ji wê pirtûkê pir hez kir.	I really liked that book.
Ceyran çûye. Tiştekê ku em bikin tune ye, em dê li bendê bin heta ku ceyran were.	The sun is gone. There is nothing we can do, we will wait until the electricity comes.
Min bi zanebûn wisa kir!	I did so knowingly!
Wan got ku ev bi tenê teorîyek e.	They said this is just a theory.
Du segên keştîvan, hii? Bibêjin Arrr.	Two sailor dogs, hii? Say Arrr.
Pir xweş bû! Min ji wê pirtûkê pir hez kir!	It was very nice! I loved that book so much!
Tiştek hat bîra min! Ez dizanim ez dê çi bikim!	I remembered something! I know what I will do!
Hii…	Hey...
Seg bi pirtûkan mijûl bû.	Seg was busy with books.
Ez nikarim xwe dirêjtir bikim!	I can't take it any longer!
Û em dikarin ji bo çêkirina vafirokeka baştir çend rêbazan ji we ra bibêjin.	And we can tell you a few ways to make a better vaporizer.
Em îşev li şûna Babûna Xewê dixebitin, lê karê me di wext da neqedîya.	We are working tonight instead of Father Sleep, but our work is not finished in time.
Silav. Ez Seg im û ev jî Pug e. Em alî te bikin?	Hi there. I'm Seg and this is Pug. Shall we help you?
